Seed,N,sum_of_peaks
Seed 4,4,12.0
Seed 4,5,13.0
Seed 4,6,14.0
Seed 4,7,15.0
Seed 4,8,15.0
Seed 4,9,16.0
Seed 4,10,16.0
Seed 8,4,10.0
Seed 8,5,10.0
Seed 8,6,10.0
Seed 8,7,10.0
Seed 8,8,11.0
Seed 8,9,12.0
Seed 8,10,12.0
Seed 16,4,24.0
Seed 16,5,25.0
Seed 16,6,25.0
Seed 16,7,25.0
Seed 16,8,26.0
Seed 16,9,26.0
Seed 16,10,26.0
Seed 32,4,14.0
Seed 32,5,16.0
Seed 32,6,18.0
Seed 32,7,21.0
Seed 32,8,21.0
Seed 32,9,22.0
Seed 32,10,23.0
Seed 64,4,22.0
Seed 64,5,32.0
Seed 64,6,43.0
Seed 64,7,46.0
Seed 64,8,47.0
Seed 64,9,50.0
Seed 64,10,51.0
Seed 128,4,33.0
Seed 128,5,34.0
Seed 128,6,38.0
Seed 128,7,39.0
Seed 128,8,41.0
Seed 128,9,42.0
Seed 128,10,44.0
Seed 256,4,19.0
Seed 256,5,28.0
Seed 256,6,31.0
Seed 256,7,33.0
Seed 256,8,34.0
Seed 256,9,35.0
Seed 256,10,35.0
Seed 512,4,16.0
Seed 512,5,17.0
Seed 512,6,19.0
Seed 512,7,20.0
Seed 512,8,24.0
Seed 512,9,25.0
Seed 512,10,26.0
Seed 1024,4,16.0
Seed 1024,5,16.0
Seed 1024,6,17.0
Seed 1024,7,18.0
Seed 1024,8,18.0
Seed 1024,9,20.0
Seed 1024,10,20.0
