S.D.,Counts,Seed
0.5,1024,4
0.6,938,4
0.7,805,4
0.8,702,4
0.9,575,4
1.0,537,4
1.1,522,4
1.2,490,4
1.3,405,4
1.4,322,4
1.5,325,4
1.6,322,4
1.7,246,4
1.8,185,4
1.9,161,4
2.0,149,4
2.1,117,4
2.2,86,4
2.3,78,4
2.4,60,4
2.5,37,4
2.6,31,4
2.7,17,4
2.8,10,4
2.9,2,4
3.0,8,4
0.5,730,8
0.6,774,8
0.7,781,8
0.8,714,8
0.9,720,8
1.0,708,8
1.1,613,8
1.2,540,8
1.3,435,8
1.4,425,8
1.5,297,8
1.6,322,8
1.7,233,8
1.8,192,8
1.9,136,8
2.0,81,8
2.1,44,8
2.2,48,8
2.3,21,8
2.4,28,8
2.5,17,8
2.6,9,8
2.7,6,8
2.8,0,8
2.9,0,8
3.0,0,8
0.5,780,16
0.6,733,16
0.7,777,16
0.8,744,16
0.9,620,16
1.0,550,16
1.1,524,16
1.2,524,16
1.3,444,16
1.4,376,16
1.5,324,16
1.6,319,16
1.7,218,16
1.8,182,16
1.9,119,16
2.0,79,16
2.1,78,16
2.2,44,16
2.3,29,16
2.4,30,16
2.5,36,16
2.6,28,16
2.7,40,16
2.8,15,16
2.9,2,16
3.0,4,16
0.5,755,32
0.6,776,32
0.7,741,32
0.8,735,32
0.9,608,32
1.0,560,32
1.1,545,32
1.2,500,32
1.3,386,32
1.4,296,32
1.5,228,32
1.6,192,32
1.7,144,32
1.8,174,32
1.9,141,32
2.0,95,32
2.1,87,32
2.2,72,32
2.3,42,32
2.4,41,32
2.5,16,32
2.6,23,32
2.7,16,32
2.8,13,32
2.9,6,32
3.0,0,32
0.5,857,64
0.6,819,64
0.7,751,64
0.8,609,64
0.9,617,64
1.0,549,64
1.1,577,64
1.2,529,64
1.3,404,64
1.4,388,64
1.5,382,64
1.6,330,64
1.7,246,64
1.8,218,64
1.9,175,64
2.0,123,64
2.1,81,64
2.2,58,64
2.3,52,64
2.4,16,64
2.5,15,64
2.6,6,64
2.7,17,64
2.8,1,64
2.9,2,64
3.0,0,64
0.5,870,128
0.6,817,128
0.7,715,128
0.8,680,128
0.9,622,128
1.0,651,128
1.1,662,128
1.2,558,128
1.3,480,128
1.4,368,128
1.5,277,128
1.6,232,128
1.7,178,128
1.8,155,128
1.9,97,128
2.0,95,128
2.1,83,128
2.2,48,128
2.3,55,128
2.4,32,128
2.5,25,128
2.6,17,128
2.7,9,128
2.8,5,128
2.9,15,128
3.0,0,128
0.5,874,256
0.6,860,256
0.7,861,256
0.8,793,256
0.9,762,256
1.0,603,256
1.1,608,256
1.2,579,256
1.3,471,256
1.4,459,256
1.5,354,256
1.6,237,256
1.7,180,256
1.8,143,256
1.9,118,256
2.0,90,256
2.1,72,256
2.2,67,256
2.3,74,256
2.4,43,256
2.5,36,256
2.6,22,256
2.7,7,256
2.8,8,256
2.9,14,256
3.0,3,256
0.5,875,512
0.6,797,512
0.7,800,512
0.8,742,512
0.9,667,512
1.0,666,512
1.1,626,512
1.2,545,512
1.3,479,512
1.4,442,512
1.5,405,512
1.6,372,512
1.7,292,512
1.8,257,512
1.9,173,512
2.0,134,512
2.1,82,512
2.2,76,512
2.3,55,512
2.4,23,512
2.5,10,512
2.6,7,512
2.7,0,512
2.8,0,512
2.9,0,512
3.0,0,512
0.5,851,1028
0.6,828,1028
0.7,795,1028
0.8,687,1028
0.9,673,1028
1.0,635,1028
1.1,601,1028
1.2,522,1028
1.3,422,1028
1.4,383,1028
1.5,310,1028
1.6,296,1028
1.7,228,1028
1.8,193,1028
1.9,155,1028
2.0,124,1028
2.1,118,1028
2.2,92,1028
2.3,64,1028
2.4,28,1028
2.5,13,1028
2.6,12,1028
2.7,12,1028
2.8,0,1028
2.9,0,1028
3.0,0,1028
